,Unnamed: 0,sentence,text_no_eraab,pinglish_from_errab,pinglish_from_no_errab
169443,169443,اِپُل در فرهنگ ما جایگاه ویژه‌ای دارد.,اپل در فرهنگ ما جایگاه ویژه‌ای دارد.,?apel dar farhange mA jAygAhe vizhei dArad,?apel dar farhange mA jAygAhe vizhei dArad
82100,82100,به دیوار لَم داده بود.,به دیوار لم داده بود.,be divAr lam dAde bud,be divAr lam dAde bud
137041,137041,کسی با من کَلَّم نکرد.,کسی با من کلم نکرد.,kasi bA man kalam nakard,kasi bA man kalam nakard
28,28,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.,?apel hamiSe tarrAhiye xAsi dArad,?apel hamiSe tarrAhiye xAsi dArad
135647,135647,کاغذ کُلُفت استفاده کرد.,کاغذ کلفت استفاده کرد.,kAqaze koloft ?estefAde kard,kAqaze koloft ?estefAde kard
92321,92321,برای ورود مُهر لازم است.,برای ورود مهر لازم است.,barAye vorude mohr lAzem ?ast,barAye vorude mohr lAzem ?ast
152198,152198,درگیری بین دو گَنگ رخ داد.,درگیری بین دو گنگ رخ داد.,dargiri beyne do gang rox dAd,dargiri beyne do gang rox dAd
98784,98784,او زمین را می‌کَنَد.,او زمین را می‌کند.,?u zamin rA mikanad,?u zamin rA mikanad
21944,21944,چیزی تو جیبم احساس می‌کنم.,چیزی تو جیبم احساس می‌کنم.,Cizi to jibam ?ehsAs mikanam,Cizi to jibam ?ehsAs mikanam
74917,74917,حکومت باید با عَدْل رفتار کند.,حکومت باید با عدل رفتار کند.,hokumat bAyad bA ?adal raftAr konad,hokumat bAyad bA ?adl raftAr konad
62255,62255,شیر وحشی حمله کرد.,شیر وحشی حمله کرد.,Sire vahSi hamle kard,Sire vahSi hamle kard
146728,146728,او را مار گَزیده بود.,او را مار گزیده بود.,?u rA mAr gazide bud,?u rA mAr gazide bud
62736,62736,صدای غرش شیر ترسناک بود.,صدای غرش شیر ترسناک بود.,sedAye qorre Sir tarsnAk bud,sedAye qorre Sir tarsnAk bud
22710,22710,اثبات جُرم دشوار بود.,اثبات جرم دشوار بود.,?esbAte jorm doSvAr bud,?esbAte jorm doSvAr bud
23823,23823,باید جِرم جسم را اندازه گرفت.,باید جرم جسم را اندازه گرفت.,bAyad jerme jesm rA ?andAze gereft,bAyad jerme jesm rA ?andAze gereft
79711,79711,با قَسَم حرفش را شروع کرد.,با قسم حرفش را شروع کرد.,bA qasam harfaS rA Soru? kard,bA qasam harfaS rA Soru? kard
146297,146297,پای گَزیده را شستند.,پای گزیده را شستند.,pAye gazide rA Sostand,pAye gazide rA Sostand
13356,13356,اگه بِهِت بگم چی می‌شه؟,اگه بهت بگم چی می‌شه؟,?age boht begam Ci miSe,?age boht begam Ci miSe
138645,138645,کَن کردن خاک زمان برد.,کن کردن خاک زمان برد.,kon kardane xAk zamAne bord,kon kardane xAk zamAne bord
72409,72409,او در طُول روز خسته شد.,او در طول روز خسته شد.,?u dar tule ruz xaste Sod,?u dar tule ruz xaste Sod
20787,20787,همیشه به تُو اعتماد داشتم.,همیشه به تو اعتماد داشتم.,hamiSe be to ?e?temAd dAStam,hamiSe be to ?e?temAd dAStam
181908,181908,امروز درباره‌ی پَهْن در کلاس صحبت شد.,امروز درباره‌ی پهن در کلاس صحبت شد.,?emruz darbAreye pahn dar kelAs sohbat Sod,?emruz darbAreye pahn dar kelAs sohbat Sod
101030,101030,در عروسی نُقل پخش کردند.,در عروسی نقل پخش کردند.,dar ?arusi noql paxS kardand,dar ?arusi noql paxS kardand
62954,62954,صدای غرش شیر ترسناک بود.,صدای غرش شیر ترسناک بود.,sedAye qorre Sir tarsnAk bud,sedAye qorre Sir tarsnAk bud
137321,137321,او کَلَّم و قانع شد.,او کلم و قانع شد.,?u kalam va qAne? Sod,?u kalam va qAne? Sod
9794,9794,او از رفتار بِلا ناراحت شد.,او از رفتار بلا ناراحت شد.,?u ?az raftAre balA nArAhat Sod,?u ?az raftAre balA nArAhat Sod
38934,38934,ماشین دَوَران ناگهانی داشت.,ماشین دوران ناگهانی داشت.,mASin dorAne nAgahAni dASt,mASin dorAne nAgahAni dASt
54772,54772,زُوّار از شهرهای مختلف آمدند.,زوار از شهرهای مختلف آمدند.,zu?Ar ?az SahrhAye moxtalef ?Amadand,zavAr ?az SahrhAye moxtalef ?Amadand
128450,128450,تمرین کُشتی روزانه دارد.,تمرین کشتی روزانه دارد.,tamrine koSti ruzAne dArad,tamrine koSti ruzAne dArad
37475,37475,از اینجا تا آنجا راه دوری است.,از اینجا تا آنجا راه دوری است.,?az ?injA tA ?AnjA rAh duri ?ast,?az ?injA tA ?AnjA rAh duri ?ast
49310,49310,روش اتاق را تغییر دادیم.,روش اتاق را تغییر دادیم.,raveSe ?otAq rA taqir dAdim,raveSe ?otAq rA taqir dAdim
135079,135079,دیوار بسیار کُلُفت بود.,دیوار بسیار کلفت بود.,divAr besyAr koloft bud,divAr besyAr koloft bud
31001,31001,خُلْق نیکو باعث محبوبیت می‌شود.,خلق نیکو باعث محبوبیت می‌شود.,xolqe niku bA?es mahbubiyyat miSavad,xolqe niku bA?es mahbubiyyat miSavad
116583,116583,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.,?otAqi pahn dAStand,?otAqi pahn dAStand
173778,173778,امروز درباره‌ی سِروِر در کلاس صحبت شد.,امروز درباره‌ی سرور در کلاس صحبت شد.,?emruz darbAreye sarvar dar kelAs sohbat Sod,?emruz darbAreye sarvar dar kelAs sohbat Sod
123505,123505,کُره خاکی در فضا می‌چرخد.,کره خاکی در فضا می‌چرخد.,korreye xAki dar fazA miCarxad,korreye xAki dar fazA miCarxad
143870,143870,سربازان در گُردان سازماندهی شدند.,سربازان در گردان سازماندهی شدند.,sarbAzAn dar gordAne sAzmAndehi Sodand,sarbAzAn dar gordAne sAzmAndehi Sodand
102117,102117,نَه، این کار درست نیست.,نه، این کار درست نیست.,na ?in kAr dorost nist,na ?in kAr dorost nist
22920,22920,او منکر جُرم خود شد.,او منکر جرم خود شد.,?u monkere jorme xod Sod,?u monkere jorme xod Sod
55119,55119,زَوار درِ چوبی شل شده.,زوار در چوبی شل شده.,zavAr dar Cubi Sol Sode,zavAr dar Cubi Sol Sode
31399,31399,در شرایط سخت خُلْق واقعی افراد نمایان می‌شود.,در شرایط سخت خلق واقعی افراد نمایان می‌شود.,dar SarAyete saxt xolqe vAqeye?iye ?afrAd namAyAn miSavad,dar SarAyete saxt xolqe vAqeye?iye ?afrAd namAyAn miSavad
178244,178244,همه از مُرد احترام می‌گذارند.,همه از مرد احترام می‌گذارند.,hame ?az mard ?ehterAm migozArand,hame ?az mard ?ehterAm migozArand
125887,125887,کِرَک کف اتاق دیده می‌شد.,کرک کف اتاق دیده می‌شد.,karake kafe ?otAq dide miSod,karake kafe ?otAq dide miSod
77791,77791,با وجود عِذْر امکان بارداری نیست.,با وجود عذر امکان بارداری نیست.,bA vojude ?azr ?emkAne bArdAri nist,bA vojude ?ozr ?emkAne bArdAri nist
66972,66972,ضَرْب او باعث شکست شد.,ضرب او باعث شکست شد.,zarbe ?u bA?ese Sekast Sod,zarbe ?u bA?ese Sekast Sod
57920,57920,کتابی درباره سِحر و جادو خواند.,کتابی درباره سحر و جادو خواند.,ketAbi darbAreyeye sehr va jAdu xAnd,ketAbi darbAreyeye sehr va jAdu xAnd
106876,106876,پَر پرنده افتاد.,پر پرنده افتاد.,pare parande ?oftAd,pare parande ?oftAd
95669,95669,حرکت مُک بود و پیش نمی‌رفت.,حرکت مک بود و پیش نمی‌رفت.,harekate mak bud va piS nemiraft,harekate mak bud va piS nemiraft
17302,17302,قیمت هر تُن گندم بالا رفت.,قیمت هر تن گندم بالا رفت.,qeymate har ton gandum bAlA raft,qeymate har ton gandum bAlA raft
45984,45984,زمین را تمیز رُفت.,زمین را تمیز رفت.,zamin rA tamiz raft,zamin rA tamiz raft
23432,23432,دانش‌آموزان درباره جِرم و حجم آموختند.,دانش‌آموزان درباره جرم و حجم آموختند.,dAneSAmuzAn darbAreyeye jerm va hajme ?Amuxtand,dAneSAmuzAn darbAreyeye jerm va hajme ?Amuxtand
98080,98080,با بیل چاله را می‌کَنَد.,با بیل چاله را می‌کند.,bA bile CAle rA mikanad,bA bile CAle rA mikanad
56071,56071,نماز سَحَر آرامش دارد.,نماز سحر آرامش دارد.,namAze sahar ?ArAmeS dArad,namAze sahar ?ArAmeS dArad
34350,34350,مردم دِه مهمان‌نواز بودند.,مردم ده مهمان‌نواز بودند.,mardome deh mehmAnnavAz budand,mardome deh mehmAnnavAz budand
34705,34705,دِه زیبایی در کوهستان بود.,ده زیبایی در کوهستان بود.,dehe zibAyi dar kuhestAn bud,dehe zibAyi dar kuhestAn bud
125108,125108,روی شیشه کِرَک افتاده بود.,روی شیشه کرک افتاده بود.,ruye SiSeye karak ?oftAde bud,ruye SiSeye karak ?oftAde bud
87839,87839,اتاق انتظار پُر از مُراجِع بود.,اتاق انتظار پر از مراجع بود.,?otAqe ?entezAr por ?az morAje bud,?otAqe ?entezAr por ?az morAje bud
31097,31097,او خُلْق خوبی ندارد.,او خلق خوبی ندارد.,?u xolqe xubi nadArad,?u xolqe xubi nadArad
84111,84111,بعد از تصادف لَنگ شد.,بعد از تصادف لنگ شد.,ba?d ?az tasAdof lang Sod,ba?d ?az tasAdof lang Sod
19594,19594,تُنگ بلوری روی میز بود.,تنگ بلوری روی میز بود.,tonge boluri ruye miz bud,tonge boluri ruye miz bud
182274,182274,کَر همیشه به فرزندانش مهربانی می‌کرد.,کر همیشه به فرزندانش مهربانی می‌کرد.,kar hamiSe be farzandAnaS mehrabAni mikard,kar hamiSe be farzandAnaS mehrabAni mikard
118126,118126,چِک امضا شده بود.,چک امضا شده بود.,Cak ?emzA Sode bud,Cak ?emzA Sode bud
83576,83576,در این بازی لِم خاصی دارد.,در این بازی لم خاصی دارد.,dar ?in bAzi lome xAsi dArad,dar ?in bAzi lome xAsi dArad
33255,33255,تصویر دُم پرنده زیبا بود.,تصویر دم پرنده زیبا بود.,tasvire dame parande zibA bud,tasvire dame parande zibA bud
37957,37957,از اینجا تا آنجا راه دوری است.,از اینجا تا آنجا راه دوری است.,?az ?injA tA ?AnjA rAh duri ?ast,?az ?injA tA ?AnjA rAh duri ?ast
127388,127388,برای کِشت باران مفید است.,برای کشت باران مفید است.,barAye keSte bArAn mofid ?ast,barAye keSte bArAn mofid ?ast
46214,46214,سگ‌ها با صدای انفجار رَم کردند.,سگ‌ها با صدای انفجار رم کردند.,sehA bA sedAye ?enfejAr ram kardand,sehA bA sedAye ?enfejAr ram kardand
114419,114419,او از پِلِّه افتاد.,او از پله افتاد.,?u ?az pelle ?oftAd,?u ?az pelle ?oftAd
162127,162127,اطراف اَرگ خندقی عمیق قرار دارد.,اطراف ارگ خندقی عمیق قرار دارد.,?atrAf ?orge xandaqi ?amiq qarAr dArad,?atrAf ?orge xandaqi ?amiq qarAr dArad
184672,184672,همه از کُلُفت احترام می‌گذارند.,همه از کلفت احترام می‌گذارند.,hame ?az kolfat ?ehterAm migozArand,hame ?az kolfat ?ehterAm migozArand
125552,125552,روی شیشه کِرَک افتاده بود.,روی شیشه کرک افتاده بود.,ruye SiSeye karak ?oftAde bud,ruye SiSeye karak ?oftAde bud
53009,53009,زَهره‌اش از ترس پرید.,زهره‌اش از ترس پرید.,zahreaS ?az tars parid,zahreaS ?az tars parid
93731,93731,مِهر و محبتش را حس کردم.,مهر و محبتش را حس کردم.,mehr ?o mohabbataS rA hes kardam,mehr ?o mohabbataS rA hes kardam
96832,96832,مِیل درونی‌اش آشکار شد.,میل درونی‌اش آشکار شد.,meyle daruniaS ?ASkAr Sod,meyle daruniaS ?ASkAr Sod
55239,55239,پایه میز زَوار دارد.,پایه میز زوار دارد.,pAyeye miz zavAr dArad,pAyeye miz zavAr dArad
185730,185730,دیروز با کَک صحبت کردم و چیزهای جالبی گفت.,دیروز با کک صحبت کردم و چیزهای جالبی گفت.,diruz bA kak sohbat kardam va CizhAye jAlebi goft,diruz bA kak sohbat kardam va CizhAye jAlebi goft
178302,178302,مُرد همیشه به فرزندانش مهربانی می‌کرد.,مرد همیشه به فرزندانش مهربانی می‌کرد.,mard hamiSe be farzandAnaS mehrabAni mikard,mard hamiSe be farzandAnaS mehrabAni mikard
183475,183475,دیروز با کِشتی صحبت کردم و چیزهای جالبی گفت.,دیروز با کشتی صحبت کردم و چیزهای جالبی گفت.,diruz bA keSti sohbat kardam va CizhAye jAlebi goft,diruz bA keSti sohbat kardam va CizhAye jAlebi goft
99959,99959,او همیشه تلاش می‌کُنَد.,او همیشه تلاش می‌کند.,?u hamiSe talAS mikonad,?u hamiSe talAS mikonad
179203,179203,بُن همیشه در داستان‌های قدیمی ذکر شده‌است.,بن همیشه در داستان‌های قدیمی ذکر شده‌است.,ben hamiSe dar dAstAnhAye qadimi zekr Sodeast,ben hamiSe dar dAstAnhAye qadimi zekr Sodeast
112164,112164,این رفتار خیلی پَست بود.,این رفتار خیلی پست بود.,?in raftAr xeyli past bud,?in raftAr xeyli past bud
87548,87548,اتاق انتظار پُر از مُراجِع بود.,اتاق انتظار پر از مراجع بود.,?otAqe ?entezAr por ?az morAje bud,?otAqe ?entezAr por ?az morAje bud
32089,32089,دَم در ایستاده بود.,دم در ایستاده بود.,dome dar ?istAde bud,dome dar ?istAde bud
35363,35363,عدد دَه عددی زوج است.,عدد ده عددی زوج است.,?adade dah ?adadiye zoj ?ast,?adade dah ?adadiye zoj ?ast
49554,49554,نور خورشید باعث روش خانه شد.,نور خورشید باعث روش خانه شد.,nure xorSid bA?ese raveSe xAne Sod,nure xorSid bA?ese raveSe xAne Sod
35667,35667,دَه کتاب در کیفش بود.,ده کتاب در کیفش بود.,dah ketAb dar kifaS bud,dah ketAb dar kifaS bud
4950,4950,منتظر باش تا او بِرِس.,منتظر باش تا او برس.,montazer bAS tA ?u beres,montazer bAS tA ?u beres
85384,85384,لِنگ مصنوعی داشت.,لنگ مصنوعی داشت.,long masnu?i dASt,long masnu?i dASt
116523,116523,خیابان پَهْن بود.,خیابان پهن بود.,xiyAbAn pahn bud,xiyAbAn pahn bud
53095,53095,آن‌قدر شجاع نیست که زَهره داشته باشد.,آن‌قدر شجاع نیست که زهره داشته باشد.,?Anqadr SojA? nist ke zohre dASte bASad,?Anqadr SojA? nist ke zohre dASte bASad
47722,47722,پایتخت ایتالیا رُم است.,پایتخت ایتالیا رم است.,pAytaxte ?itAliyA rom ?ast,pAytaxte ?itAliyA rom ?ast
21907,21907,صدایی از تو اتاق می‌آمد.,صدایی از تو اتاق می‌آمد.,sedAyi ?az to dar ?otAq miAmad,sedAyi ?az to dar ?otAq miAmad
63791,63791,او با بیسکوییت شِیر خورد.,او با بیسکوییت شیر خورد.,?u bA biskovit Sir xord,?u bA biskovit Sir xord
59633,59633,سِیر در طبیعت لذت‌بخش است.,سیر در طبیعت لذت‌بخش است.,seyr dar tabi?at lezzatbaxS ?ast,seyr dar tabi?at lezzatbaxS ?ast
123971,123971,کُره زمین گرد است.,کره زمین گرد است.,koreye zamin gerde ?ast,koreye zamin gerde ?ast
69778,69778,صَیْد در کنار مدیترانه واقع شده.,صید در کنار مدیترانه واقع شده.,seyyed dar kenAreye meditarAne vAqe? Sode,seyd dar kenAreye meditarAne vAqe? Sode
144243,144243,اتاق بسیار گَرْم بود.,اتاق بسیار گرم بود.,?otAq besyAr garm bud,?otAq besyAr garm bud
8105,8105,او از بَلا نجات یافت.,او از بلا نجات یافت.,?u ?az balA nejAt yAft,?u ?az balA nejAt yAft
36990,36990,نقاشی دُور دایره‌ای بود.,نقاشی دور دایره‌ای بود.,naqqASi dore dAyerei bud,naqqASi dore dAyerei bud
31579,31579,خُلْق آرامش‌بخشش معروف است.,خلق آرامش‌بخشش معروف است.,xalleqe ?ArAmeSbaxSeSe ma?ruf ?ast,xalqe ?ArAmeSbaxSeSe ma?ruf ?ast
126577,126577,او بی‌گناه را کُشت.,او بی‌گناه را کشت.,?u bigonAh rA koSt,?u bigonAh rA koSt
9551,9551,او از رفتار بِلا ناراحت شد.,او از رفتار بلا ناراحت شد.,?u ?az raftAre balA nArAhat Sod,?u ?az raftAre balA nArAhat Sod
58555,58555,او با یک لقمه سیر شد.,او با یک لقمه سیر شد.,?u bA yek loqme sir Sod,?u bA yek loqme sir Sod
172265,172265,وقتی اسم زُهره را می‌شنوم یاد کودکی‌ام می‌افتم.,وقتی اسم زهره را می‌شنوم یاد کودکی‌ام می‌افتم.,vaqti ?esme zahre rA miSenavam yAde kudakiam mioftam,vaqti ?esme zahre rA miSenavam yAde kudakiam mioftam
69306,69306,صَیْد شهری تاریخی در لبنان است.,صید شهری تاریخی در لبنان است.,seyyed Sahriye tArixi dar lobnAn ?ast,seyyed Sahriye tArixi dar lobnAn ?ast
16924,16924,شاعر از زیبایی تَن گفت.,شاعر از زیبایی تن گفت.,SA?er ?az zibAyi tan goft,SA?er ?az zibAyi tan goft
7908,7908,بُعد فیزیکی موضوع را بررسی کرد.,بعد فیزیکی موضوع را بررسی کرد.,ba?d fiziki mozu? ra barresi kard,ba?d fiziki mozu? ra barresi kard
174782,174782,امروز درباره‌ی شُل در کلاس صحبت شد.,امروز درباره‌ی شل در کلاس صحبت شد.,?emruz darbAreye Sol dar kelAs sohbat Sod,?emruz darbAreye Sol dar kelAs sohbat Sod
141761,141761,او به خاطر مصرف کُک دستگیر شد.,او به خاطر مصرف کک دستگیر شد.,?u bexAtere masrafe kake dastgir Sod,?u bexAtere masrafe kake dastgir Sod
91110,91110,این مِلْک برای فروش است.,این ملک برای فروش است.,?in melak barAye foruS ?ast,?in melk barAye foruS ?ast
49226,49226,روش اتاق را تغییر دادیم.,روش اتاق را تغییر دادیم.,raveSe ?otAq rA taqir dAdim,raveSe ?otAq rA taqir dAdim
2221,2221,بَر همه چیز نظارت داشت.,بر همه چیز نظارت داشت.,bar hameCiz nezArat dASt,bar hameCiz nezArat dASt
53910,53910,زَهره ترسِ زیادی دارد.,زهره ترس زیادی دارد.,zahretars ziyAdi dArad,zahretars ziyAdi dArad
12227,12227,در بُهْت کامل به او خیره شد.,در بهت کامل به او خیره شد.,dar behet kAmel be ?u xire Sod,dar boht kAmel be ?u xire Sod
160728,160728,پرندگان زیر اَبر پرواز می‌کردند.,پرندگان زیر ابر پرواز می‌کردند.,parandegAn zire ?abare parvAz mikardand,parandegAn zire ?abare parvAz mikardand
165039,165039,مجموعه‌ای از اِشکال در کیف او بود.,مجموعه‌ای از اشکال در کیف او بود.,majmu?ei ?az ?eSkAl dar kife ?u bud,majmu?ei ?az ?eSkAl dar kife ?u bud
168817,168817,هیچ‌کس مثل خِر نمی‌تواند خانواده را هدایت کند.,هیچ‌کس مثل خر نمی‌تواند خانواده را هدایت کند.,hiC kas mesleye xar nemitavAnad xAnevAde rA hedAyat konad,hiC kas mesleye xar nemitavAnad xAnevAde rA hedAyat konad
12978,12978,خبر ناگهانی او را در بُهْت فرو برد.,خبر ناگهانی او را در بهت فرو برد.,xabare nAgahAniye ?u rA dar boht foru bord,xabare nAgahAniye ?u rA dar boht foru bord
82156,82156,به دیوار لَم داده بود.,به دیوار لم داده بود.,be divAr lam dAde bud,be divAr lam dAde bud
31514,31514,خُلْق تندش دیگران را اذیت می‌کند.,خلق تندش دیگران را اذیت می‌کند.,xalleqe tondaS digarAn rA ?aziyat mikonad,xolqe tondaS digarAn rA ?aziyat mikonad
88231,88231,پدرم مَرد مهربانی است.,پدرم مرد مهربانی است.,pedaram marde mehrabAni ?ast,pedaram marde mehrabAni ?ast
12715,12715,در بُهْت کامل به او خیره شد.,در بهت کامل به او خیره شد.,dar behet kAmel be ?u xire Sod,dar boht kAmel be ?u xire Sod
83459,83459,لِم این کار در دقت است.,لم این کار در دقت است.,lam ?in kAr dar deqqat ?ast,lam ?in kAr dar deqqat ?ast
83233,83233,لِم مقاله‌نویسی را یاد گرفت.,لم مقاله‌نویسی را یاد گرفت.,lame maqAlenevisi rA yAd gereft,lame maqAlenevisi rA yAd gereft
109332,109332,او در کارخانه پِرِس کار می‌کند.,او در کارخانه پرس کار می‌کند.,?u dar kArxAne perese kAr mikonad,?u dar kArxAne perese kAr mikonad
137125,137125,مدتی با هم کَلَّم کردند.,مدتی با هم کلم کردند.,modati bA ham kalam kardand,modati bA ham kalam kardand
127567,127567,فصل کِشت گندم است.,فصل کشت گندم است.,fasle keSte gandum ?ast,fasle keSte gandum ?ast
124398,124398,روی مبل کُرْک نشسته بود.,روی مبل کرک نشسته بود.,ruye mobl karak neSaste bud,ruye moble karak neSaste bud
28631,28631,خَر خاکستری در جاده بود.,خر خاکستری در جاده بود.,xare xAkestari dar jAdde bud,xare xAkestari dar jAdde bud
17467,17467,قیمت هر تُن گندم بالا رفت.,قیمت هر تن گندم بالا رفت.,qeymate har ton gandum bAlA raft,qeymate har ton gandum bAlA raft
118553,118553,او چِک داد.,او چک داد.,?u Cek dAd,?u Cek dAd
190156,190156,به نظر من جُرم نقش مهمی در خانواده دارد.,به نظر من جرم نقش مهمی در خانواده دارد.,benazare man jorm naqSe mohemmi dar xAnevAde dArad,benazare man jorm naqSe mohemmi dar xAnevAde dArad
166771,166771,کتاب دربارهٔ اَعمال درست و نادرست است.,کتاب دربارهٔ اعمال درست و نادرست است.,ketAb darbAreyeye ?a?mAle dorost va nAdorost ?ast,ketAb darbAreyeye ?a?mAle dorost va nAdorost ?ast
168176,168176,کتابی درباره‌ی اَبا خوانده‌ام که خیلی جالب بود.,کتابی درباره‌ی ابا خوانده‌ام که خیلی جالب بود.,ketAbi darbAreye ?ebA xAnde ?am ke xeili jAleb bud,ketAbi darbAreye ?ebA xAnde ?am ke xeili jAleb bud
136761,136761,سالاد با کَلَم درست شد.,سالاد با کلم درست شد.,sAlAd bA kalam dorost Sod,sAlAd bA kalam dorost Sod
23536,23536,دانش‌آموزان درباره جِرم و حجم آموختند.,دانش‌آموزان درباره جرم و حجم آموختند.,dAneSAmuzAn darbAreyeye jerm va hajme ?Amuxtand,dAneSAmuzAn darbAreyeye jerm va hajme ?Amuxtand
78638,78638,این قِسْم کتاب را دوست دارم.,این قسم کتاب را دوست دارم.,?in qesm ketAb rA dust dAram,?in qesme ketAb rA dust dAram
10017,10017,بُن نظریه را باید درک کرد.,بن نظریه را باید درک کرد.,bene nazariye rA bAyad dark kard,bene nazariye rA bAyad dark kard
105959,105959,در قهوه هِل ریخت.,در قهوه هل ریخت.,dar qahveye hel rixt,dar qahveye hel rixt
159885,159885,دانشجو از ارائه پروژه خود اِبا نمود.,دانشجو از ارائه پروژه خود ابا نمود.,dAneSju ?az ?erA?eye projeye xod ?ebA nemud,dAneSju ?az ?erA?eye projeye xod ?ebA nemud
27157,27157,نامه‌ای برای حَسَن فرستاده شد.,نامه‌ای برای حسن فرستاده شد.,nAme?i barAye hosne ferestAde Sod,nAme?i barAye hosne ferestAde Sod
71324,71324,ضَمْن اجرای پروژه تعهد داد.,ضمن اجرای پروژه تعهد داد.,zemneye ?ejrAye proje ta?ahhod dAd,zemneye ?ejrAye proje ta?ahhod dAd
146497,146497,پای گَزیده را شستند.,پای گزیده را شستند.,pAye gazide rA Sostand,pAye gazide rA Sostand
137455,137455,مدتی با هم کَلَّم کردند.,مدتی با هم کلم کردند.,modati bA ham kalam kardand,modati bA ham kalam kardand
141726,141726,قاچاق کُک جرم سنگینی دارد.,قاچاق کک جرم سنگینی دارد.,qACAqe kak jorme sangini dArad,qACAqe kak jorme sangini dArad
149591,149591,کفش‌ها گِلی شده‌اند.,کفش‌ها گلی شده‌اند.,kafSA geli Sodeand,kafSA geli Sodeand
10832,10832,بُن ساختمان تقویت شده.,بن ساختمان تقویت شده.,bene sAxtemAne taqviyat Sode,bene sAxtemAne taqviyat Sode
100123,100123,نَقل بارها به ماشین انجام شد.,نقل بارها به ماشین انجام شد.,noqle bArhA be mASin ?anjAm Sod,noqle bArhA be mASin ?anjAm Sod
57279,57279,کتابی درباره سِحر و جادو خواند.,کتابی درباره سحر و جادو خواند.,ketAbi darbAreyeye sehr va jAdu xAnd,ketAbi darbAreyeye sehr va jAdu xAnd
26007,26007,همه از حُسْن سلیقه‌اش تعریف کردند.,همه از حسن سلیقه‌اش تعریف کردند.,hame ?az hasane saliqeaS ta?rif kardand,hame ?az hasane saliqeaS ta?rif kardand
19402,19402,تُنگ پر از گل‌های زیبا بود.,تنگ پر از گل‌های زیبا بود.,tong por ?az golhAye zibA bud,tong por ?az golhAye zibA bud
70590,70590,او ضِمْن صحبت‌هایش نکته‌ای گفت.,او ضمن صحبت‌هایش نکته‌ای گفت.,?u zemene sohbathAyaS nokte?i goft,?u zemneye sohbathAyaS nokte?i goft
15126,15126,بوی تُسْت تازه پیچیده بود.,بوی تست تازه پیچیده بود.,buye teste tAze piCide bud,buye teste tAze piCide bud
186382,186382,گَرْم همیشه در داستان‌های قدیمی ذکر شده‌است.,گرم همیشه در داستان‌های قدیمی ذکر شده‌است.,gerdam hamiSe dar dAstAnhAye qadimi zekr Sodeast,garme hamiSe dar dAstAnhAye qadimi zekr Sodeast
108458,108458,شاگرد از معلم پُرْس کرد.,شاگرد از معلم پرس کرد.,SAgerd ?az mo?allem peres kard,SAgerd ?az mo?allem peres kard
63256,63256,شِیر تازه در یخچال است.,شیر تازه در یخچال است.,Sire tAze dar yaxCAl ?ast,Sire tAze dar yaxCAl ?ast
159204,159204,با وجود پیشنهاد مناسب، از معامله اِبا کرد.,با وجود پیشنهاد مناسب، از معامله ابا کرد.,bA vojude piSnehAde monAseb ?az mo?Amele ?ebA kard,bA vojude piSnehAde monAseb ?az mo?Amele ?ebA kard
2413,2413,لبخند بَر لبش نشست.,لبخند بر لبش نشست.,labxand bar labaS neSast,labxand bar labaS neSast
14995,14995,نتیجه تِسْت را فردا اعلام می‌کنند.,نتیجه تست را فردا اعلام می‌کنند.,natijeye tesbat rA fardA ?elAm mikonand,natijeye test rA fardA ?elAm mikonand
33625,33625,حیوان دُم بلندی داشت.,حیوان دم بلندی داشت.,heyvAne dome bolandi dASt,heyvAne dome bolandi dASt
163060,163060,صدای اُرگ در سالن طنین‌انداز شد.,صدای ارگ در سالن طنین‌انداز شد.,sedAye ?org dar sAlone tanin ?andAz Sod,sedAye ?org dar sAlone tanin ?andAz Sod
184679,184679,کُلُفت همیشه به فرزندانش مهربانی می‌کرد.,کلفت همیشه به فرزندانش مهربانی می‌کرد.,kolfat hamiSe be farzandAnaS mehrabAni mikard,kolfat hamiSe be farzandAnaS mehrabAni mikard
123677,123677,مدار کُره مشخص بود.,مدار کره مشخص بود.,madAre kore moSaxxas bud,madAre kore moSaxxas bud
180348,180348,وقتی اسم هُل را می‌شنوم یاد کودکی‌ام می‌افتم.,وقتی اسم هل را می‌شنوم یاد کودکی‌ام می‌افتم.,vaqti ?esme hel rA miSenavam yAde kudakiam mioftam,vaqti ?esme hel rA miSenavam yAde kudakiam mioftam
170643,170643,دوران در فرهنگ ما جایگاه ویژه‌ای دارد.,دوران در فرهنگ ما جایگاه ویژه‌ای دارد.,davarAn dar farhange mA jAygAhe vizhei dArad,davarAn dar farhange mA jAygAhe vizhei dArad
181061,181061,کتابی درباره‌ی پِرِس خوانده‌ام که خیلی جالب بود.,کتابی درباره‌ی پرس خوانده‌ام که خیلی جالب بود.,ketAbi darbAreye pors xAnde ?am ke xeili jAleb bud,ketAbi darbAreye pors xAnde ?am ke xeili jAleb bud
4314,4314,امیدوارم به موقع بِرِس.,امیدوارم به موقع برس.,?omidvAram bemoqe? beres,?omidvAram bemoqe? beres
97725,97725,یک میل آهنی وسط سالن بود.,یک میل آهنی وسط سالن بود.,yek meyle ?Ahani vasate sAlon bud,yek meyle ?Ahani vasate sAlon bud
